id,medicine,therapeutic_category,subcategory,list_type,dosage_forms,text
eml-d59d9720d714,metoclopramide,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,2.3 Medicines for other common symptoms in palliative care,core,Injection:5mg/mL(hydrochloride)in2mLampoule.Oral liquid:5mg/mLSolid oral form:10mg(hydrochloride).,"metoclopramide is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 2. MEDICINES FOR PAIN AND PALLIATIVE CARE; 2.3 Medicines for other common symptoms in palliative care. Listing: core. Available dosage forms/strengths: Injection:5mg/mL(hydrochloride)in2mLampoule.Oral liquid:5mg/mLSolid oral form:10mg(hydrochloride)."
eml-4c6f95653689,metoclopramide,16. DIURETICS,17.2 Antiemetic medicines,core,Injection:5mg/mL(hydrochloride)in2mLampoule.Oral liquid:5mg/5mL[c].Tablet:10mg(hydrochloride).Not in neonates.,"metoclopramide is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 16. DIURETICS; 17.2 Antiemetic medicines. Listing: core. Available dosage forms/strengths: Injection:5mg/mL(hydrochloride)in2mLampoule.Oral liquid:5mg/5mL[c].Tablet:10mg(hydrochloride).Not in neonates."
eml-5b4f962e4202,metoclopramide,30. DENTAL MEDICINES AND PREPARATIONS,,core,Not in neonates,"metoclopramide is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: Not in neonates"
eml-31413bb15ed5,midazolam,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",1.3 Preoperative medication and sedation for short-term procedures,core,Injection: 1 mg/mL. Oral liquid: 2 mg/mL [c]. Tablet: 7.5 mg; 15 mg.,"midazolam is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES; 1.3 Preoperative medication and sedation for short-term procedures. Listing: core. Available dosage forms/strengths: Injection: 1 mg/mL. Oral liquid: 2 mg/mL [c]. Tablet: 7.5 mg; 15 mg."
eml-de36ec8e8fa2,midazolam,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,2.3 Medicines for other common symptoms in palliative care,core,Injection:1mg/mL;5mg/mLOral liquid:2mg/mL[c].Solid oral dosage form:7.5mg;15mg.,"midazolam is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 2. MEDICINES FOR PAIN AND PALLIATIVE CARE; 2.3 Medicines for other common symptoms in palliative care. Listing: core. Available dosage forms/strengths: Injection:1mg/mL;5mg/mLOral liquid:2mg/mL[c].Solid oral dosage form:7.5mg;15mg."
eml-564bddfc5868,midazolam,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,5.1 Antisezure medicines,core,"Solution for oromucosal administration: 5 mg/mL in 0.5 mL, 1 mL, 1.5 mL, 2 mL pre-filled syringe; 10 mg/mL in 0.25 mL, 0.5 mL, 0.75 mL, 1 mL pre-filled syringe. Injection*: 1 mg/mL in 5 mL vial; 5 mg/mL in 1 mL or 3 mL vial. *For buccal administration when solution for oromucosal administration is not available.","midazolam is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 5.1 Antisezure medicines. Listing: core. Available dosage forms/strengths: Solution for oromucosal administration: 5 mg/mL in 0.5 mL, 1 mL, 1.5 mL, 2 mL pre-filled syringe; 10 mg/mL in 0.25 mL, 0.5 mL, 0.75 mL, 1 mL pre-filled syringe. Injection*: 1 mg/mL in 5 mL vial; 5 mg/mL in 1 mL or 3 mL vial. *For buccal administration when solution for oromucosal administration is not available."
eml-643a9c38079e,mifepristone-misoprostol,22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE,22.3 Uterotonics,core,Tablet:200mg-tablet:200 micrograms. Co-package containing: mifepristone200mgtablet[1]andmisoprostol200 micrograms tablet[4] -Management of intrauterine fetal demise; -Management of induced abortion,"mifepristone-misoprostol is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE; 22.3 Uterotonics. Listing: core. Available dosage forms/strengths: Tablet:200mg-tablet:200 micrograms. Co-package containing: mifepristone200mgtablet[1]andmisoprostol200 micrograms tablet[4] -Management of intrauterine fetal demise; -Management of induced abortion"
eml-428a422ccffb,Miscellaneous,30. DENTAL MEDICINES AND PREPARATIONS,,core,Pessaries or vaginal tablets.,"Miscellaneous is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: Pessaries or vaginal tablets."
eml-fff291bf6aff,misoprostol,22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE,22.3 Uterotonics,core,Tablet:200 micrograms. -Management of incomplete abortion and miscarriage; -Prevention and treatment of postpartum haemorrhage where oxytocin is not available or cannot be safely used Vaginal tablet:25 micrograms.* *Only for use for induction of labour where appropriate facilities are available.,"misoprostol is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE; 22.3 Uterotonics. Listing: core. Available dosage forms/strengths: Tablet:200 micrograms. -Management of incomplete abortion and miscarriage; -Prevention and treatment of postpartum haemorrhage where oxytocin is not available or cannot be safely used Vaginal tablet:25 micrograms.* *Only for use for induction of labour where appropriate facilities are available."
eml-50da970d9940,Mode of administration,30. DENTAL MEDICINES AND PREPARATIONS,,core,Term to be used,"Mode of administration is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: Term to be used"
eml-a4326e650b8c,morphine,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",1.3 Preoperative medication and sedation for short-term procedures,core,Injection: 10 mg (sulfate or hydrochloride) in 1 mL ampoule.,"morphine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES; 1.3 Preoperative medication and sedation for short-term procedures. Listing: core. Available dosage forms/strengths: Injection: 10 mg (sulfate or hydrochloride) in 1 mL ampoule."
eml-691927dd9b64,morphine,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,2.2 Opioid analgesics,core,Granules (slow release; to mix with water): 20 mg to 200 mg(morphine sulfate).Injection: 10 mg (morphine hydrochloride or morphine sulfate) in1 mL ampoule.Oral liquid: 10 mg/5 mL (morphine hydrochloride or morphine sulfate).Tablet (slow release): 10 mg to 200mg (morphine hydrochloride or morphine sulfate).Tablet (immediate release): 10 mg (morphine sulfate).,"morphine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 2. MEDICINES FOR PAIN AND PALLIATIVE CARE; 2.2 Opioid analgesics. Listing: core. Available dosage forms/strengths: Granules (slow release; to mix with water): 20 mg to 200 mg(morphine sulfate).Injection: 10 mg (morphine hydrochloride or morphine sulfate) in1 mL ampoule.Oral liquid: 10 mg/5 mL (morphine hydrochloride or morphine sulfate).Tablet (slow release): 10 mg to 200mg (morphine hydrochloride or morphine sulfate).Tablet (immediate release): 10 mg (morphine sulfate)."
eml-77a6c0173834,multiple micronutrient powder,27. VITAMINS AND MINERALS,,core,Sachets containing:-iron(elemental)12.5mg(as coated ferrous fumarate)-zinc(elemental)5mg-vitaminA300 micrograms-with or without other micronutrients at recommended daily values,"multiple micronutrient powder is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 27. VITAMINS AND MINERALS. Listing: core. Available dosage forms/strengths: Sachets containing:-iron(elemental)12.5mg(as coated ferrous fumarate)-zinc(elemental)5mg-vitaminA300 micrograms-with or without other micronutrients at recommended daily values"
eml-418a918e6056,multiple micronutrient supplement,22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE,22.5 Other medicines administered to the mother,core,Tablet containing:VitaminA(retinol acetate)800 micrograms retinol activity equivalentVitaminC(ascorbic acid)70mgVitaminD(cholecalciferol)5 micrograms(200IU)VitaminE(cholate tocopherol)10mg alpha tocopherol equivalent succinate)VitaminB1(thiamine mononitrate)1.4mgVitaminB2(riboflavin)1.4mgVitaminB3(niacinamide)18mg niacin equivalentVitaminB8(pyridoxine hydrochloride)1.9mgFolic acid(folic acid)680 micrograms dietary folate equivalent(400 micrograms)VitaminB12(cyanocobalamin)2.6 microgramsIron(ferrous fumarate)30mgIodine(potassium iodide)150 microgramsZinc(zinc oxide)15mgSelenium(sodium selenite)65 microgramsCopper(copper oxide)2mg*For use in specific contexts.Refer to current WHO recommendations.,"multiple micronutrient supplement is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE; 22.5 Other medicines administered to the mother. Listing: core. Available dosage forms/strengths: Tablet containing:VitaminA(retinol acetate)800 micrograms retinol activity equivalentVitaminC(ascorbic acid)70mgVitaminD(cholecalciferol)5 micrograms(200IU)VitaminE(cholate tocopherol)10mg alpha tocopherol equivalent succinate)VitaminB1(thiamine mononitrate)1.4mgVitaminB2(riboflavin)1.4mgVitaminB3(niacinamide)18mg niacin equivalentVitaminB8(pyridoxine hydrochloride)1.9mgFolic acid(folic acid)680 micrograms dietary folate equivalent(400 micrograms)VitaminB12(cyanocobalamin)2.6 microgramsIron(ferrous fumarate)30mgIodine(potassium iodide)150 microgramsZinc(zinc oxide)15mgSelenium(sodium selenite)65 microgramsCopper(copper oxide)2mg*For use in specific contexts.Refer to current WHO recommendations."
eml-605dea3c44d7,mupirocin,7. ANTIMIGRAINE MEDICINES,13.2 Anti-Infective medicines,core,Cream:2% (as calcium).Ointment:2%。,"mupirocin is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 13.2 Anti-Infective medicines. Listing: core. Available dosage forms/strengths: Cream:2% (as calcium).Ointment:2%。"
eml-4f985754ec3c,naltrexone,24. MEDICINES FOR MENTAL AND BEHAVIOURAL DISORDERS,24.5.1 Medicines for alcohol use disorders,core,Injection suspension (extended-release): 380 mg in vialTablet: 50 mg,"naltrexone is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 24. MEDICINES FOR MENTAL AND BEHAVIOURAL DISORDERS; 24.5.1 Medicines for alcohol use disorders. Listing: core. Available dosage forms/strengths: Injection suspension (extended-release): 380 mg in vialTablet: 50 mg"
eml-c23acc0d4bd5,natamycin,21. OPHTHALMOLOGICAL PREPARATIONS,21.1 Anti-Infective agents,core,Suspension(eye drops):5% -Fungal keratitis,"natamycin is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 21. OPHTHALMOLOGICAL PREPARATIONS; 21.1 Anti-Infective agents. Listing: core. Available dosage forms/strengths: Suspension(eye drops):5% -Fungal keratitis"
eml-ae9b14a7cc87,neostigmine,20. MUSCLE RELAXANTS (PERIPHERALLY-ACTING) AND CHOLINESTERASE INHIBITORS,,core,Injection:500 micrograms/mL(methylsulfate)in1mLampoule; 2.5mg/mL(methylsulfate)in1mLampoule. Tablet:15mg(bromide),"neostigmine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 20. MUSCLE RELAXANTS (PERIPHERALLY-ACTING) AND CHOLINESTERASE INHIBITORS. Listing: core. Available dosage forms/strengths: Injection:500 micrograms/mL(methylsulfate)in1mLampoule; 2.5mg/mL(methylsulfate)in1mLampoule. Tablet:15mg(bromide)"
eml-d8acd14b8418,nevirapine,30. DENTAL MEDICINES AND PREPARATIONS,,core,&gt;6weeks,"nevirapine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: &gt;6weeks"
eml-b73b444d367e,nicotinamide,27. VITAMINS AND MINERALS,,core,Tablet:50mg.,"nicotinamide is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 27. VITAMINS AND MINERALS. Listing: core. Available dosage forms/strengths: Tablet:50mg."
eml-5c38f8b6c4c3,nicotine replacement therapy (NRT),24. MEDICINES FOR MENTAL AND BEHAVIOURAL DISORDERS,24.5.2 Medicines for nicotine use disorders,core,Chewing gum: 2 mg; 4 mg (as polacrine).Lazenges: 2 mg; 4 mg.Oral spray: 1 mg per actuation.Tranedermal patch: 5 mg to 30 mg/16 hrs; 7 mg to 21 mg/24 hrs.,"nicotine replacement therapy (NRT) is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 24. MEDICINES FOR MENTAL AND BEHAVIOURAL DISORDERS; 24.5.2 Medicines for nicotine use disorders. Listing: core. Available dosage forms/strengths: Chewing gum: 2 mg; 4 mg (as polacrine).Lazenges: 2 mg; 4 mg.Oral spray: 1 mg per actuation.Tranedermal patch: 5 mg to 30 mg/16 hrs; 7 mg to 21 mg/24 hrs."
eml-88edd5785613,nifedipine,22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE,22.4 Antioxytocics(tocolytics),core,Immediate-release capsule:10mg.,"nifedipine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE; 22.4 Antioxytocics(tocolytics). Listing: core. Available dosage forms/strengths: Immediate-release capsule:10mg."
eml-28c2dacfec97,nifloxone,3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS,4.2 Specific,core,Injection:400 micrograms(hydrochloride)in1mLampoule.,"nifloxone is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 3. ANTIALLERGICS AND MEDICINES USED IN ANAPHYLAXIS; 4.2 Specific. Listing: core. Available dosage forms/strengths: Injection:400 micrograms(hydrochloride)in1mLampoule."
eml-bc33b35586d3,nifurtimox,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,6.5.5 Antitrypanosomal medicines,core,"Tablet(scored):30mg;120mg.*Only to be used in combination with eflornithine,for the treatment ofTrypanosoma brucei gambienseinfection.","nifurtimox is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 6.5.5 Antitrypanosomal medicines. Listing: core. Available dosage forms/strengths: Tablet(scored):30mg;120mg.*Only to be used in combination with eflornithine,for the treatment ofTrypanosoma brucei gambienseinfection."
eml-a06a33d4f7ff,nifurtimox,5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM,6.5.5 Antitrypanosomal medicines,core,Tablet(scored):30mg;120mg.,"nifurtimox is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 5. MEDICINES FOR DISEASES OF THE NERVOUS SYSTEM; 6.5.5 Antitrypanosomal medicines. Listing: core. Available dosage forms/strengths: Tablet(scored):30mg;120mg."
eml-8ed162f39f05,nitrous oxide,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",1.1.1 Inhalational medicines,core,Inhalation.,"nitrous oxide is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES; 1.1.1 Inhalational medicines. Listing: core. Available dosage forms/strengths: Inhalation."
eml-b3903d8314d8,norethisterone enantate,22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE,22.1.2 Injectable hormonal contraceptives,core,Oily solution: 200 mg/mL in 1 mL ampoule.,"norethisterone enantate is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE; 22.1.2 Injectable hormonal contraceptives. Listing: core. Available dosage forms/strengths: Oily solution: 200 mg/mL in 1 mL ampoule."
eml-6fd7d33a241f,o adalimumab,29. MEDICINES FOR DISEASES OF JOINTS,29.3 Medicines for juvenile joint diseases,complementary,Injection:10mg/0.2mL[c];20mg/0.4mL[c];40mg/0.8mL;40mg/0.4mL,"o adalimumab is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 29. MEDICINES FOR DISEASES OF JOINTS; 29.3 Medicines for juvenile joint diseases. Listing: complementary. Available dosage forms/strengths: Injection:10mg/0.2mL[c];20mg/0.4mL[c];40mg/0.8mL;40mg/0.4mL"
eml-f95df4af609c,o chloroxylenol,15. ANTISEPTICS AND DISINFECTANTS,15.2 Disinfectants,core,Solution:4.8%,"o chloroxylenol is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 15. ANTISEPTICS AND DISINFECTANTS; 15.2 Disinfectants. Listing: core. Available dosage forms/strengths: Solution:4.8%"
eml-e27d00b7b182,o lisinopril + □ amlodipine,7. ANTIMIGRAINE MEDICINES,8.2.1 Cytotoxic medicines,complementary,Tablet:10mg+5mg;20mg+5mg;20mg+10mg.,"o lisinopril + □ amlodipine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 8.2.1 Cytotoxic medicines. Listing: complementary. Available dosage forms/strengths: Tablet:10mg+5mg;20mg+5mg;20mg+10mg."
eml-08fcc4534069,octreotide,18. MEDICINES FOR ENDOCRINE DISORDERS,18.8 Medicines for disorders of the pituitary hormone system,complementary,Injection(immediate-release):0.05mg/mL;0.1mg/mL;0.5mg/mL(as acetate)in1mLvial. Injection(modified-release):20mg(as acetate)invialplusdiluent,"octreotide is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 18. MEDICINES FOR ENDOCRINE DISORDERS; 18.8 Medicines for disorders of the pituitary hormone system. Listing: complementary. Available dosage forms/strengths: Injection(immediate-release):0.05mg/mL;0.1mg/mL;0.5mg/mL(as acetate)in1mLvial. Injection(modified-release):20mg(as acetate)invialplusdiluent"
eml-e64f6b7b774f,olanzapine,24. MEDICINES FOR MENTAL AND BEHAVIOURAL DISORDERS,24.1 Medicines for psychotic disorders,core,Powder for injection:10mg in vial.,"olanzapine is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 24. MEDICINES FOR MENTAL AND BEHAVIOURAL DISORDERS; 24.1 Medicines for psychotic disorders. Listing: core. Available dosage forms/strengths: Powder for injection:10mg in vial."
eml-b783f943d0c4,ondansetron,2. MEDICINES FOR PAIN AND PALLIATIVE CARE,2.3 Medicines for other common symptoms in palliative care,core,Injection:2mg base/mLin2mLampoule(as hydrochloride).Oral liquid:4mg base/5mLSolid oral dosage form:Eq4mg base;Eq8mg base.＞1month.,"ondansetron is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 2. MEDICINES FOR PAIN AND PALLIATIVE CARE; 2.3 Medicines for other common symptoms in palliative care. Listing: core. Available dosage forms/strengths: Injection:2mg base/mLin2mLampoule(as hydrochloride).Oral liquid:4mg base/5mLSolid oral dosage form:Eq4mg base;Eq8mg base.＞1month."
eml-b25d98aac747,ondansetron,16. DIURETICS,17.2 Antiemetic medicines,core,Injection:2mg base/mLin2mLampoule(as hydrochloride).Oral liquid:4mg base/5mL.Solid oral dosage form:Eq4mg base;Eq8mg base;Eq24mg base.＞1month.,"ondansetron is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 16. DIURETICS; 17.2 Antiemetic medicines. Listing: core. Available dosage forms/strengths: Injection:2mg base/mLin2mLampoule(as hydrochloride).Oral liquid:4mg base/5mL.Solid oral dosage form:Eq4mg base;Eq8mg base;Eq24mg base.＞1month."
eml-0054d2397ffb,ondansetron,30. DENTAL MEDICINES AND PREPARATIONS,,core,&gt;1month,"ondansetron is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: &gt;1month"
eml-369ab2b9abcc,Oral liquid,30. DENTAL MEDICINES AND PREPARATIONS,,core,"Liquid preparations intended to be swallowed i.e. oral solutions,suspensions, emulsions and oral drops,including those constituted from powders or granules,but not those preparations intended for oromucosal administration e.g.gargles and mouthwashes.Oral liquids presented as powders or granules may offer benefits in the form of better stability and lower transport costs.If more than one type of oral liquid is available on the same market(e.g.solution, suspension, granules for reconstitution),they may be interchanged and in such cases should be bioequivalent.It is preferable that oral liquids do not contain sugar and that solutions for children do not contain alcohol.","Oral liquid is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: Liquid preparations intended to be swallowed i.e. oral solutions,suspensions, emulsions and oral drops,including those constituted from powders or granules,but not those preparations intended for oromucosal administration e.g.gargles and mouthwashes.Oral liquids presented as powders or granules may offer benefits in the form of better stability and lower transport costs.If more than one type of oral liquid is available on the same market(e.g.solution, suspension, granules for reconstitution),they may be interchanged and in such cases should be bioequivalent.It is preferable that oral liquids do not contain sugar and that solutions for children do not contain alcohol."
eml-de3b5360135a,Oral powder,30. DENTAL MEDICINES AND PREPARATIONS,,core,Preparations that are issued to patient as powder(usually as single-dose) to be taken in or with water or another suitable liquid.,"Oral powder is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 30. DENTAL MEDICINES AND PREPARATIONS. Listing: core. Available dosage forms/strengths: Preparations that are issued to patient as powder(usually as single-dose) to be taken in or with water or another suitable liquid."
eml-0bf3915bba4f,oral rehydration salts,16. DIURETICS,17.5.1 Oral rehydration,core,"Powder for dilution in 200 mL; 500 mL; 1 L. glucose: 75 mEq sodium: 75 mEq or mmol/L chloride: 65 mEq or mmol/L potassium: 20 mEq or mmol/L citrate: 10 mmol/L osmolarity: 245 mOsm/L glucose: 13.5 g/L sodium chloride: 2.6 g/L potassium chloride: 1.5 g/L trisodium citrate dihydrate*: 2.9 g/L *trisodium citrate dihydrate may be replaced by sodium hydrogen carbonate (sodium dicarbonate) 2.5 g/L. However, as the stability of this latter formulation is very poor under tropical conditions, it is recommended only when manufactured for immediate use.","oral rehydration salts is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 16. DIURETICS; 17.5.1 Oral rehydration. Listing: core. Available dosage forms/strengths: Powder for dilution in 200 mL; 500 mL; 1 L. glucose: 75 mEq sodium: 75 mEq or mmol/L chloride: 65 mEq or mmol/L potassium: 20 mEq or mmol/L citrate: 10 mmol/L osmolarity: 245 mOsm/L glucose: 13.5 g/L sodium chloride: 2.6 g/L potassium chloride: 1.5 g/L trisodium citrate dihydrate*: 2.9 g/L *trisodium citrate dihydrate may be replaced by sodium hydrogen carbonate (sodium dicarbonate) 2.5 g/L. However, as the stability of this latter formulation is very poor under tropical conditions, it is recommended only when manufactured for immediate use."
eml-88457d39d924,oral rehydration salts,"26. SOLUTIONS CORRECTING WATER, ELECTROLYTE AND ACID-BASE DISTURBANCES",26.1 Oral,core,See section 17.5.1.,"oral rehydration salts is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 26. SOLUTIONS CORRECTING WATER, ELECTROLYTE AND ACID-BASE DISTURBANCES; 26.1 Oral. Listing: core. Available dosage forms/strengths: See section 17.5.1."
eml-90e8357f8ae6,oral rehydration salts-zinc sulfate,16. DIURETICS,17.5 Medicines used in diarrhoea,core,Co-package containing:ORS powder for dilution(see Section17.5.1)-zinc sulfate solid oral dosage form20mg(see Section17.5.2),"oral rehydration salts-zinc sulfate is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 16. DIURETICS; 17.5 Medicines used in diarrhoea. Listing: core. Available dosage forms/strengths: Co-package containing:ORS powder for dilution(see Section17.5.1)-zinc sulfate solid oral dosage form20mg(see Section17.5.2)"
eml-c2fc974a6cc7,oxaliplatin,7. ANTIMIGRAINE MEDICINES,8.2.1 Cytotoxic medicines,complementary,Injection:50mg/10mLin10mLvial;100mg/20mLin20mLvial;200mg/40mLin40mLvial. Powder for Injection:50mg;100mg in vial. - Early stage colon cancer - Metastatic colorectal cancer,"oxaliplatin is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 7. ANTIMIGRAINE MEDICINES; 8.2.1 Cytotoxic medicines. Listing: complementary. Available dosage forms/strengths: Injection:50mg/10mLin10mLvial;100mg/20mLin20mLvial;200mg/40mLin40mLvial. Powder for Injection:50mg;100mg in vial. - Early stage colon cancer - Metastatic colorectal cancer"
eml-10048c7d1ab9,oxygen,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",1.1.1 Inhalational medicines,core,Inhalation (medical gas).,"oxygen is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES; 1.1.1 Inhalational medicines. Listing: core. Available dosage forms/strengths: Inhalation (medical gas)."
eml-add311cee055,oxygen,"1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES",1.4 Medical gases,core,InhalationFor use in the management of hypoxaemia.*No more than 30% oxygen should be used to initiate resuscitation of neonates less than or equal to 32 weeks of gestation.,"oxygen is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 1. ANAESTHETICS, PREOPERATIVE MEDICINES AND MEDICAL GASES; 1.4 Medical gases. Listing: core. Available dosage forms/strengths: InhalationFor use in the management of hypoxaemia.*No more than 30% oxygen should be used to initiate resuscitation of neonates less than or equal to 32 weeks of gestation."
eml-aa6af52b5635,oxytocin,22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE,22.3 Uterotonics,core,Injection:10IUin1mL.,"oxytocin is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 22. MEDICINES FOR REPRODUCTIVE HEALTH AND PERINATAL CARE; 22.3 Uterotonics. Listing: core. Available dosage forms/strengths: Injection:10IUin1mL."
eml-42f95193b0ef,pancreatic enzymes,16. DIURETICS,,complementary,"Age-appropriate formulations and doses including lipase, protease and amylase.","pancreatic enzymes is an essential medicine in Pakistan's National Essential Medicines List (WHO Model List, 23rd List 2023). Therapeutic category: 16. DIURETICS. Listing: complementary. Available dosage forms/strengths: Age-appropriate formulations and doses including lipase, protease and amylase."
